기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외식,(주)나이스밀,편대장영화식당,12,6,0,0,0,581658,9388
2018,외식,기타 외식,(주)남도에프앤씨,남도술상,9,9,0,0,0,0,0
2018,외식,기타 외식,(주)남쪽나라,은화수식당,30,7,0,4,3,249258,15724
2018,외식,기타 외식,(주)농부애푸드,농부애갈비,7,1,0,1,1,945478,16307
2018,외식,기타 외식,(주)농심,코코이찌방야,8,4,0,0,0,319890,10225
2018,외식,기타 외식,(주)농협목우촌,헌터스문,7,6,0,1,1,413665,6815
2018,외식,기타 외식,(주)다담,무보까,24,6,0,2,0,414072,8594
2018,외식,기타 외식,(주)다온에프앤비,샤브정,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)다온에프앤씨,바비박스,22,9,7,10,0,105852,8754
2018,외식,기타 외식,(주)다온에프앤에스,땡초우동,20,13,0,3,0,0,0
2018,외식,기타 외식,(주)다온푸드,길동우동,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)다이닝에스엠,화포식당,40,9,0,0,0,949320,22210
2018,외식,기타 외식,(주)다이닝이노베이션코리아,레타스,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)다존,길선인,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)다채원,토마토도시락,113,11,6,12,6,164268,11756
2018,외식,기타 외식,(주)다함컴퍼니,백하돼지생갈비,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)달구지푸드,달구지막창,51,19,2,19,4,24530,5227
2018,외식,기타 외식,(주)달인에프앤비,쭈꾸미달인,14,5,0,6,0,184572,13226
2018,외식,기타 외식,(주)담꽃,담장옆에국화꽃,2,1,0,0,0,0,0
2018,외식,기타 외식,(주)대구우야지막창,대구우야지막창,30,13,1,2,2,387980,9913
2018,외식,기타 외식,(주)대호가,죽이야기,379,48,18,11,17,120896,9653
2018,외식,기타 외식,(주)대흥,나따오비까,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)더굿에프앤씨,고기굽는카페조선,7,0,0,8,1,730724,23958
2018,외식,기타 외식,(주)더꿈,밥스테이크,20,22,0,2,0,898921,49200
2018,외식,기타 외식,(주)더모모야,모모야,3,3,0,0,0,0,0
2018,외식,기타 외식,(주)더센코리아,다이닝센,12,0,3,0,2,647227,8340
2018,외식,기타 외식,(주)더원코리아,더오니기리,29,0,1,2,0,113348,11676
2018,외식,기타 외식,(주)데일리킹,포메인,133,13,7,1,8,535529,13553
2018,외식,기타 외식,(주)델리푸드,델리(Delhi),7,5,0,1,0,485629,25101
2018,외식,기타 외식,(주)델타에프엔지,웰자청,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)도네누,도네누,57,1,25,0,0,240101,6513
2018,외식,기타 외식,(주)돈탐라제주,돈탐라제주,15,0,1,0,0,288879,7338
2018,외식,기타 외식,(주)동원홈푸드,샌드프레소,3,0,0,0,0,88758,3414
2018,외식,기타 외식,(주)두레푸드,인정국물떡볶이,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)두리에프앤비,큰바다해물아구찜,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)두빛나래,비와별 닭갈비,11,3,3,0,0,354123,7392
2018,외식,기타 외식,(주)디딤,미추냉삼,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)디씨씨,핫또그,4,2,1,0,0,0,0
2018,외식,기타 외식,(주)디알앤코,키프레시,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)디앤지컴퍼니,너티차일드,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)디에스에프앤비,헝그리박스,2,1,0,0,0,0,0
